S05587
24-06-2016_14:34:09
Saved at time: 516427969 milliseconds
Integration time: 4000000
Scans to average: 0
Boxcar smoothing: 0
Wavelengths	Intensities
526.62081745	1904.00000000
527.09309052	2087.00000000
527.56540495	2243.00000000
528.03776070	2075.00000000
528.51015773	2080.00000000
528.98259601	2202.00000000
529.45507550	1994.00000000
529.92759616	2181.00000000
530.40015795	2096.00000000
530.87276085	2150.00000000
531.34540481	2229.00000000
531.81808979	2130.00000000
532.29081576	2178.00000000
532.76358269	2467.00000000
533.23639053	2515.00000000
533.70923924	2298.00000000
534.18212880	2437.00000000
534.65505917	2589.00000000
535.12803030	2604.00000000
535.60104217	2724.00000000
536.07409473	2815.00000000
536.54718794	3047.00000000
537.02032178	3510.00000000
537.49349620	2606.00000000
537.96671117	4315.00000000
538.43996665	4797.00000000
538.91326261	5220.00000000
539.38659900	6058.00000000
539.85997579	8347.00000000
540.33339294	10663.00000000
540.80685042	14017.00000000
541.28034819	16383.00000000
541.75388622	16383.00000000
542.22746446	15549.00000000
542.70108287	13594.00000000
543.17474144	14281.00000000
543.64844010	14723.00000000
544.12217884	14407.00000000
544.59595761	14517.00000000
545.06977637	15847.00000000
545.54363510	16383.00000000
546.01753374	16383.00000000
546.49147227	15913.00000000
546.96545065	12841.00000000
547.43946884	11677.00000000
547.91352680	10744.00000000
548.38762450	9565.00000000
548.86176191	8229.00000000
549.33593897	7968.00000000
549.81015567	6830.00000000
550.28441195	6358.00000000
550.75870779	5776.00000000
551.23304315	4744.00000000
551.70741799	5061.00000000
552.18183227	4642.00000000
552.65628595	4244.00000000
553.13077901	3870.00000000
553.60531140	3463.00000000
554.07988309	3378.00000000
554.55449403	3120.00000000
555.02914420	3037.00000000
555.50383356	3027.00000000
555.97856206	2842.00000000
556.45332968	2418.00000000
556.92813637	2237.00000000
557.40298210	2442.00000000
557.87786683	2364.00000000
558.35279053	2396.00000000
558.82775315	2150.00000000
559.30275467	2434.00000000
559.77779504	2339.00000000
560.25287423	2269.00000000
560.72799221	1949.00000000
561.20314892	2476.00000000
561.67834435	2162.00000000
562.15357844	2257.00000000
562.62885117	2199.00000000
563.10416249	2312.00000000
563.57951238	2167.00000000
564.05490079	2129.00000000
564.53032769	2136.00000000
565.00579303	2338.00000000
565.48129679	2040.00000000
565.95683893	2275.00000000
566.43241940	2213.00000000
566.90803818	1959.00000000
567.38369523	2228.00000000
567.85939050	1909.00000000
568.33512397	2200.00000000
568.81089559	2247.00000000
569.28670533	2282.00000000
569.76255316	2198.00000000
570.23843902	2056.00000000
570.71436290	2155.00000000
571.19032475	2201.00000000
571.66632453	2169.00000000
572.14236222	2152.00000000
572.61843776	2115.00000000
573.09455113	1802.00000000
573.57070228	2135.00000000
574.04689119	2139.00000000
574.52311781	2078.00000000
574.99938211	2025.00000000
575.47568405	2372.00000000
575.95202359	2592.00000000
576.42840070	3009.00000000
576.90481534	4374.00000000
577.38126747	2903.00000000
577.85775706	2899.00000000
578.33428407	3484.00000000
578.81084846	4655.00000000
579.28745020	3760.00000000
579.76408925	3469.00000000
580.24076557	3969.00000000
580.71747912	3121.00000000
581.19422988	3669.00000000
581.67101780	3902.00000000
582.14784284	4586.00000000
582.62470497	4775.00000000
583.10160416	5087.00000000
583.57854035	5236.00000000
584.05551353	4794.00000000
584.53252365	5009.00000000
585.00957067	4825.00000000
585.48665456	4588.00000000
585.96377529	4559.00000000
586.44093280	4946.00000000
586.91812708	5657.00000000
587.39535807	5724.00000000
587.87262575	4666.00000000
588.34993007	3961.00000000
588.82727101	3540.00000000
589.30464852	3623.00000000
589.78206256	3635.00000000
590.25951311	3710.00000000
590.73700012	3599.00000000
591.21452355	3542.00000000
591.69208338	3553.00000000
592.16967956	4214.00000000
592.64731205	4346.00000000
593.12498082	4509.00000000
593.60268584	4229.00000000
594.08042706	3397.00000000
594.55820445	3233.00000000
595.03601797	2759.00000000
595.51386759	2950.00000000
595.99175326	3051.00000000
596.46967496	2668.00000000
596.94763264	2843.00000000
597.42562627	2790.00000000
597.90365581	2606.00000000
598.38172122	2933.00000000
598.85982248	3336.00000000
599.33795953	3095.00000000
599.81613235	2790.00000000
600.29434089	3012.00000000
600.77258513	2470.00000000
601.25086501	2911.00000000
601.72918052	2579.00000000
602.20753161	2596.00000000
602.68591823	2501.00000000
603.16434037	2509.00000000
603.64279797	2228.00000000
604.12129101	2390.00000000
604.59981945	2498.00000000
605.07838324	2643.00000000
605.55698236	2567.00000000
606.03561676	2492.00000000
606.51428641	2859.00000000
606.99299127	2873.00000000
607.47173131	2949.00000000
607.95050648	3297.00000000
608.42931676	3829.00000000
608.90816210	4350.00000000
609.38704248	5211.00000000
609.86595784	7158.00000000
610.34490816	11886.00000000
610.82389339	16383.00000000
611.30291351	16383.00000000
611.78196847	16383.00000000
612.26105823	11717.00000000
612.74018277	9805.00000000
613.21934204	8740.00000000
613.69853601	8119.00000000
614.17776464	7306.00000000
614.65702789	7147.00000000
615.13632573	6171.00000000
615.61565812	5323.00000000
616.09502502	4930.00000000
616.57442640	4232.00000000
617.05386221	3282.00000000
617.53333243	3567.00000000
618.01283702	3400.00000000
618.49237593	3758.00000000
618.97194914	3853.00000000
619.45155660	3639.00000000
619.93119828	4269.00000000
620.41087415	4240.00000000
620.89058415	4229.00000000
621.37032827	4073.00000000
621.85010646	4098.00000000
622.32991868	4011.00000000
622.80976490	4119.00000000
623.28964508	4261.00000000
623.76955919	4209.00000000
624.24950718	4287.00000000
624.72948902	4448.00000000
625.20950468	4363.00000000
625.68955412	4100.00000000
626.16963729	3851.00000000
626.64975417	4081.00000000
627.12990471	3899.00000000
627.61008889	3474.00000000
628.09030666	3768.00000000
628.57055798	3296.00000000
629.05084283	3575.00000000
629.53116115	3647.00000000
630.01151293	3894.00000000
630.49189811	4442.00000000
630.97231666	4639.00000000
631.45276855	4113.00000000
631.93325374	3339.00000000
632.41377219	2723.00000000
632.89432387	2317.00000000
633.37490873	2526.00000000
633.85552675	2334.00000000
634.33617788	2434.00000000
634.81686209	2232.00000000
635.29757934	2361.00000000
635.77832959	2294.00000000
636.25911281	2282.00000000
636.73992897	2324.00000000
637.22077801	1650.00000000
637.70165992	2381.00000000
638.18257464	2240.00000000
638.66352215	2105.00000000
639.14450240	2232.00000000
639.62551537	2111.00000000
640.10656101	2285.00000000
640.58763928	2146.00000000
641.06875016	2149.00000000
641.54989359	2288.00000000
642.03106956	2162.00000000
642.51227801	2333.00000000
642.99351892	2356.00000000
643.47479224	1524.00000000
643.95609794	2237.00000000
644.43743598	2025.00000000
644.91880633	2253.00000000
645.40020894	2170.00000000
645.88164379	2051.00000000
646.36311083	2360.00000000
646.84461003	2325.00000000
647.32614135	2274.00000000
647.80770476	2329.00000000
648.28930022	2380.00000000
648.77092768	2216.00000000
649.25258712	2107.00000000
649.73427850	2394.00000000
650.21600177	2580.00000000
650.69775691	2753.00000000
651.17954388	2500.00000000
651.66136264	2296.00000000
652.14321315	2460.00000000
652.62509538	2434.00000000
653.10700929	2208.00000000
653.58895484	2299.00000000
654.07093200	2466.00000000
654.55294072	2401.00000000
655.03498098	2369.00000000
655.51705274	2095.00000000
655.99915595	2219.00000000
656.48129059	2252.00000000
656.96345661	2101.00000000
657.44565398	2216.00000000
657.92788266	2223.00000000
658.41014262	2199.00000000
658.89243382	2172.00000000
659.37475621	2032.00000000
659.85710978	2112.00000000
660.33949447	2148.00000000
660.82191025	1984.00000000
661.30435708	2216.00000000
661.78683493	2274.00000000
662.26934377	2346.00000000
662.75188354	2452.00000000
663.23445423	1860.00000000
663.71705578	2109.00000000
664.19968817	2303.00000000
664.68235136	2193.00000000
665.16504530	2124.00000000
665.64776997	1992.00000000
666.13052532	2095.00000000
666.61331133	2103.00000000
667.09612794	1970.00000000
667.57897514	2190.00000000
668.06185287	2141.00000000
668.54476110	1997.00000000
669.02769980	1878.00000000
669.51066893	2031.00000000
669.99366845	2191.00000000
670.47669833	2118.00000000
670.95975852	2283.00000000
671.44284900	2063.00000000
671.92596972	1849.00000000
672.40912065	2162.00000000
672.89230175	2215.00000000
673.37551298	2011.00000000
673.85875431	2232.00000000
674.34202570	2046.00000000
674.82532712	2011.00000000
675.30865852	2067.00000000
675.79201988	2029.00000000
676.27541115	2104.00000000
676.75883229	2054.00000000
677.24228328	2208.00000000
677.72576406	2083.00000000
678.20927462	2249.00000000
678.69281490	1642.00000000
